"id","Station","lat","lon"
"WHM","West Ham",51.528136,0.005055
"WIM","Wimbledon",51.421207,-0.206573
"WIP","Wimbledon Park",51.434573,-0.199719
"WKN","West Kensington",51.490459,-0.206636
"WPL","Whitechapel",51.519518,-0.059971
"BMY","Bermondsey",51.497953,-0.063769
"CGT","Canning Town",51.513584,0.008322
"CPK","Canons Park",51.607701,-0.294693
"CWR","Canada Water",51.497945,-0.049722
"CYF","Canary Wharf",51.503488,-0.018246
"DOH","Dollis Hill",51.551955,-0.239068
"FYR","Finchley Road",51.546825,-0.179845
"GPK","Green Park",51.506947,-0.142787
"KBN","Kilburn",51.546803,-0.204105
"KBY","Kingsbury",51.584845,-0.27879
"LNB","London Bridge",51.505721,-0.088873
"NDN","Neasden",51.553986,-0.249837
"NGW","North Greenwich",51.50047,0.004287
"QBY","Queensbury",51.594188,-0.286219
"SJW","St. John's Wood",51.534521,-0.173948
"STM","Stanmore",51.619839,-0.303266
"SWC","Swiss Cottage",51.543681,-0.174894
"SWK","Southwark",51.503976,-0.10494
"WHP","West Hampstead",51.546638,-0.191059
"WIG","Willesden Green",51.549146,-0.221537
"WYP","Wembley Park",51.563198,-0.279262
"AMS","Amersham",51.674126,-0.607714
"CAL","Chalfont & Latimer",51.667985,-0.560689
"CSM","Chesham",51.705208,-0.611247
"CXY","Croxley",51.647044,-0.441718
"CYD","Chorleywood",51.654358,-0.518461
"EAE","Eastcote",51.576506,-0.397373
"HGD","Hillingdon",51.553715,-0.449828
"HOH","Harrow-on-the-Hill",51.579195,-0.337225
"ICK","Ickenham",51.561992,-0.442001
"MPK","Moor Park",51.629845,-0.432454
"NHA","North Harrow",51.584872,-0.362408
"NKP","Northwick Park",51.578481,-0.318056
"NOW","Northwood",51.611053,-0.423829
"NWH","Northwood Hills",51.600572,-0.409464
"PNR","Pinner",51.592901,-0.381161
"PRD","Preston Road",51.571972,-0.295107
"RKW","Rickmansworth",51.640207,-0.473703
"RSM","Ruislip Manor",51.573202,-0.412973
"RSP","Ruislip",51.571354,-0.421898
"RYL","Rayners Lane",51.575147,-0.371127
"UXB","Uxbridge",51.546565,-0.477949
"WAF","Watford",51.657446,-0.417377
"WHW","West Harrow",51.57971,-0.3534
"ACY","Archway",51.565478,-0.134819
"AGL","Angel",51.532624,-0.105898
"BLM","Balham",51.443288,-0.152997
"BOR","Borough",51.501199,-0.09337
"BTK","Burnt Oak",51.602774,-0.264048
"BTX","Brent Cross",51.57665,-0.213622
"BZP","Belsize Park",51.550311,-0.164648
"CFM","Chalk Farm",51.544118,-0.153388
"CND","Colindale",51.595424,-0.249919
"CPC","Clapham Common",51.461742,-0.138317
"CPN","Clapham North",51.465135,-0.130016
"CPS","Clapham South",51.452654,-0.147582
"CSD","Colliers Wood",51.41816,-0.178086
"CTN","Camden Town",51.539292,-0.14274
"EFY","East Finchley",51.587131,-0.165012
"EGW","Edgware",51.613653,-0.274928
"EUS","Euston",51.527824,-0.131846
"FYC","Finchley Central",51.600921,-0.192527
"GDG","Goodge Street",51.520599,-0.134361
"GGN","Golders Green",51.572259,-0.194039
"HBT","High Barnet",51.650541,-0.194298
"HCL","Hendon Central",51.583301,-0.226424
"HGT","Highgate",51.577532,-0.145857
"HTD","Hampstead",51.556632,-0.178487
"KNG","Kennington",51.488337,-0.105963
"KSH","Kentish Town",51.550312,-0.140733
"LSQ","Leicester Square",51.511386,-0.128426
"MDN","Morden",51.402142,-0.194839
"MHL","Mill Hill East",51.608229,-0.209986
"MTC","Mornington Crescent",51.534679,-0.138789
"ODS","Old Street",51.525864,-0.08777
"OVL","Oval",51.48185,-0.112439
"SKW","Stockwell",51.472184,-0.122644
"SWN","South Wimbledon",51.415309,-0.192005
"TAW","Totteridge & Whetstone",51.630597,-0.17921
"TBC","Tooting Bec",51.435678,-0.159736
"TBY","Tooting Broadway",51.42763,-0.168374
"TFP","Tufnell Park",51.556822,-0.138433
"WFN","West Finchley",51.609426,-0.188362
"WOP","Woodside Park",51.618014,-0.18542
"WRR","Warren Street",51.524951,-0.138321
"ALP","Alperton",51.540627,-0.29961
"ASG","Arnos Grove",51.616446,-0.133062
"ASL","Arsenal",51.558655,-0.107457
"BDS","Bounds Green",51.607034,-0.124235
"BOS","Boston Manor",51.495635,-0.324939
"CAR","Caledonian Road",51.548519,-0.118493
"CGN","Covent Garden",51.513093,-0.124436
"CKS","Cockfosters",51.65152,-0.149171
"FPK","Finsbury Park",51.564158,-0.106825
"HNX","Hatton Cross",51.466747,-0.423191
"HPC","Hyde Park Corner",51.503035,-0.152441
